# Residuals   
# Time        	k             	nut           	omega         	p             	Urelx         	Urely         
224           	2.910216e-02	N/A	1.363663e-03	1.811453e-02	1.433592e-02	1.866807e-02
225           	5.328231e-02	N/A	1.523121e-03	1.702200e-02	1.379242e-02	1.931170e-02
226           	1.332403e-01	N/A	2.128600e-03	1.515238e-02	1.321546e-02	1.800919e-02
227           	7.310109e-02	N/A	2.850976e-03	1.363891e-02	1.482472e-02	1.703062e-02
228           	4.340768e-02	N/A	2.107172e-03	1.479620e-02	1.373762e-02	1.705103e-02
229           	3.903632e-02	N/A	1.534595e-03	1.729107e-02	1.376240e-02	1.861215e-02
230           	3.044847e-02	N/A	1.769635e-03	1.978872e-02	1.499798e-02	2.086879e-02
231           	2.704732e-02	N/A	1.666902e-03	1.884465e-02	1.560761e-02	2.116321e-02
232           	1.053677e-01	N/A	1.911184e-03	1.936727e-02	1.514501e-02	1.997332e-02
233           	7.364601e-02	N/A	2.714916e-03	1.937285e-02	1.605245e-02	2.040912e-02
234           	7.780665e-02	N/A	2.187754e-03	1.913642e-02	1.485488e-02	2.062209e-02
235           	4.161069e-02	N/A	1.796687e-03	1.923012e-02	1.597658e-02	1.989864e-02
236           	2.935593e-02	N/A	1.578084e-03	1.807149e-02	1.566132e-02	2.049022e-02
237           	5.653717e-02	N/A	1.644894e-03	1.628221e-02	1.419473e-02	2.065255e-02
238           	3.647982e-02	N/A	1.808452e-03	1.443310e-02	1.516404e-02	1.786398e-02
239           	6.753813e-02	N/A	1.916376e-03	1.400091e-02	1.403958e-02	1.660810e-02
240           	4.843970e-02	N/A	1.846676e-03	1.630982e-02	1.415589e-02	1.846180e-02
241           	4.840928e-02	N/A	1.721604e-03	1.901415e-02	1.499972e-02	2.023233e-02
242           	3.872412e-02	N/A	1.672078e-03	1.948149e-02	1.564930e-02	2.176859e-02
243           	5.068611e-02	N/A	1.666283e-03	1.842155e-02	1.589563e-02	2.091718e-02
244           	4.685727e-02	N/A	1.978252e-03	1.939324e-02	1.470671e-02	1.980085e-02
